id,name,pdf_url
16903692,صوت الأعماق: قراءات ودراسات في الفلسفة والنفس,https://www.hindawi.org/books/16903692.pdf
28146131,الرجل الخفي: نقاء الأب براون (٥),https://www.hindawi.org/books/28146131.pdf
26319263,رب الثورة: أوزيريس وعقيدة الخلود في مصر القديمة,https://www.hindawi.org/books/26319263.pdf
79392975,فيزياء الطاقة الشمسية,https://www.hindawi.org/books/79392975.pdf
30615370,رحلة ابن بطوطة: تحفة النظار في غرائب الأمصار وعجائب الأسفار,https://www.hindawi.org/books/30615370.pdf
18190630,النجوم الطائرة: نقاء الأب براون (٤),https://www.hindawi.org/books/18190630.pdf
86820252,حياة الرافعي,https://www.hindawi.org/books/86820252.pdf
84951942,لِمَ الفلسفة: مع لوحة زمنية بمعالم تاريخ الفلسفة,https://www.hindawi.org/books/84951942.pdf
92584161,الجمال الأسود,https://www.hindawi.org/books/92584161.pdf
37025927,جورج بُشنر: الأعمال المسرحية الكاملة,https://www.hindawi.org/books/37025927.pdf
31572902,أقدام غريبة: نقاء الأب براون (٣),https://www.hindawi.org/books/31572902.pdf
39294948,انطباعات مستفزة,https://www.hindawi.org/books/39294948.pdf
80509160,في المسرح المصري المعاصر,https://www.hindawi.org/books/80509160.pdf
24809605,رسالة الهناء,https://www.hindawi.org/books/24809605.pdf
29194073,الحديقة السرية: نقاء الأب براون (٢),https://www.hindawi.org/books/29194073.pdf
30353837,ثورة الإسلام وبطل الأنبياء: أبو القاسم محمد بن عبد الله,https://www.hindawi.org/books/30353837.pdf
52848020,الصليب الأزرق: نقاء الأب براون (١),https://www.hindawi.org/books/52848020.pdf
59753693,قصص رومانية,https://www.hindawi.org/books/59753693.pdf
17582731,فن الكيمياء: ما بين الخرافات والعلاجات والمواد,https://www.hindawi.org/books/17582731.pdf
16820202,بطولة الأورطة السودانية المصرية في حرب المكسيك,https://www.hindawi.org/books/16820202.pdf
63839518,تأسيس ميتافيزيقا الأخلاق,https://www.hindawi.org/books/63839518.pdf
90464240,في الميزان الجديد,https://www.hindawi.org/books/90464240.pdf
25093936,حربنا مع إمارة موناكو,https://www.hindawi.org/books/25093936.pdf
31861395,المعقول واللامعقول في تراثنا الفكري,https://www.hindawi.org/books/31861395.pdf
69369183,تاريخ نابوليون بونابرت: ١٧٦٩–١٨٢١‎‎,https://www.hindawi.org/books/69369183.pdf
57468526,التصوف الإسلامي والإمام الشعراني,https://www.hindawi.org/books/57468526.pdf
57192052,الغناء للأطفال عند العرب,https://www.hindawi.org/books/57192052.pdf
18352740,الرحلة الرهيبة للقارب «تود»‎‎,https://www.hindawi.org/books/18352740.pdf
36080595,الجنرال يعقوب والفارس لاسكاريس: ومشروع استقلال مصر في سنة ١٨٠١,https://www.hindawi.org/books/36080595.pdf
93814751,رحلة الصيف إلى بلاد البوسنة والهرسك,https://www.hindawi.org/books/93814751.pdf
30826903,الحديقة السرية,https://www.hindawi.org/books/30826903.pdf
95716864,النهضة العربية: في العصر الحاضر,https://www.hindawi.org/books/95716864.pdf
35250715,الْأَمِيرُ الْمَسْحُورُ‎,https://www.hindawi.org/books/35250715.pdf
